src_ip,dst_ip,protocol,src_port,dst_port,packet_count,byte_count,duration,label
10.124.180.134,69.2.216.38,TCP,16322,46448,29,2030,0.55,Benign
172.17.254.127,193.3.220.54,TCP,6795,39548,8,1064,4.14,DDoS
10.31.143.206,162.27.121.178,TCP,16254,50967,29,3103,3.46,HTTP-Flood
10.36.219.199,183.80.155.237,UDP,42639,59036,12,1008,4.84,PortScan
10.233.46.152,217.204.29.101,TCP,13341,12837,2,212,0.49,Benign
172.29.246.22,142.19.182.162,ICMP,0,0,46,4186,1.32,Spam
192.168.168.217,108.77.176.103,UDP,19469,50044,43,5547,2.74,Benign
192.168.215.9,214.208.141.33,TCP,40941,47582,13,1833,4.78,HTTP-Flood
172.29.129.63,192.153.60.88,ICMP,0,0,6,492,3.5,Benign
192.168.128.96,155.102.109.65,UDP,28063,60574,18,2358,3.79,PortScan
172.29.143.206,209.124.109.92,ICMP,0,0,44,3916,1.45,RDP-Bruteforce
172.18.119.192,147.23.119.24,TCP,31237,35632,48,5856,4.9,SSH-Bruteforce
10.69.181.239,148.25.206.234,ICMP,0,0,45,4725,0.76,RDP-Bruteforce
192.168.211.212,133.155.11.121,UDP,25783,22664,48,4704,2.99,Benign
10.209.106.214,222.97.229.55,UDP,23813,16195,6,768,3.73,Spam
10.33.5.39,173.68.74.30,TCP,2056,63175,39,2535,1.76,SSH-Bruteforce
172.21.47.118,112.158.3.40,UDP,14502,49625,16,1344,0.77,Benign
172.16.222.188,214.240.12.128,ICMP,0,0,24,2664,1.95,PortScan
10.94.155.112,149.36.35.112,TCP,2850,60719,43,4042,2.95,HTTP-Flood
172.16.196.226,27.146.234.78,TCP,16968,5919,28,3752,3.92,Spam
10.106.146.23,163.223.121.117,UDP,2624,57618,32,2080,3.93,PortScan
172.17.126.45,157.180.119.131,TCP,3140,62826,5,535,4.57,SSH-Bruteforce
10.227.78.16,174.146.108.77,UDP,35069,52918,9,891,2.31,Benign
10.21.97.64,47.92.198.232,TCP,42418,34150,31,2759,4.45,RDP-Bruteforce
10.11.195.169,190.231.154.65,TCP,58624,17066,15,1755,0.88,HTTP-Flood
192.168.250.177,211.174.199.120,TCP,54510,28174,9,972,3.14,Benign
192.168.171.33,122.208.136.151,TCP,38626,49935,18,1530,0.6,RDP-Bruteforce
172.22.84.10,165.38.49.250,UDP,37504,40359,16,2144,0.99,SSH-Bruteforce
172.30.49.94,43.241.60.176,TCP,44281,10224,6,402,1.26,Spam
10.125.238.184,41.209.24.251,UDP,22514,64987,23,1725,3.89,PortScan
172.21.193.81,202.255.141.68,TCP,56814,54808,15,1875,3.84,PortScan
192.168.102.82,109.126.56.42,UDP,44805,58741,10,1370,1.19,SSH-Bruteforce
172.24.10.221,61.228.11.77,UDP,41565,18422,26,2652,0.36,RDP-Bruteforce
172.19.97.41,205.200.153.172,UDP,30955,49904,36,2268,3.53,PortScan
10.38.56.84,211.234.207.219,ICMP,0,0,47,3431,0.35,SSH-Bruteforce
10.184.216.51,220.54.35.180,TCP,23801,33523,9,1017,4.28,DDoS
10.143.193.155,87.89.117.232,ICMP,0,0,45,4365,2.76,HTTP-Flood
172.25.248.189,132.249.7.91,TCP,20752,45355,42,3402,2.63,Benign
172.20.253.185,45.98.43.50,ICMP,0,0,37,2960,0.92,DDoS
192.168.250.130,19.175.16.94,UDP,41042,35229,44,5060,3.2,SSH-Bruteforce
192.168.45.87,189.68.98.186,ICMP,0,0,9,1341,3.72,Benign
10.205.206.35,147.177.34.45,ICMP,0,0,49,6811,0.37,SSH-Bruteforce
10.28.59.171,214.227.0.83,UDP,40593,55117,31,3286,4.43,DDoS
192.168.243.157,114.168.21.63,ICMP,0,0,18,1908,3.74,DDoS
172.22.248.154,177.1.96.162,TCP,59994,28836,6,666,0.44,PortScan
10.65.25.146,64.68.124.82,TCP,1265,60077,11,836,3.32,HTTP-Flood
172.28.77.55,187.89.18.180,UDP,47514,48414,42,2940,0.02,RDP-Bruteforce
172.18.220.229,210.254.47.119,UDP,36352,55015,44,5412,4.3,SSH-Bruteforce
192.168.44.148,153.43.23.70,ICMP,0,0,36,4248,4.39,SSH-Bruteforce
172.24.27.249,109.14.182.210,UDP,49652,51021,45,3420,2.0,Spam
192.168.98.155,142.62.196.212,UDP,6029,56747,1,144,3.09,PortScan
10.229.155.80,128.57.154.204,ICMP,0,0,37,4588,3.99,HTTP-Flood
172.24.194.158,136.90.179.190,ICMP,0,0,34,4998,4.94,PortScan
172.29.166.115,213.204.250.60,TCP,8291,31469,9,1080,1.11,HTTP-Flood
10.175.122.191,159.199.81.36,TCP,11189,57956,43,4343,0.1,SSH-Bruteforce
10.241.27.98,173.225.124.74,UDP,2970,48722,10,620,2.12,Spam
172.24.226.131,106.245.155.245,ICMP,0,0,31,2480,1.87,DDoS
192.168.32.160,195.86.117.162,ICMP,0,0,44,4708,1.85,SSH-Bruteforce
172.31.202.129,94.190.106.5,ICMP,0,0,40,3960,0.63,HTTP-Flood
172.25.144.118,212.222.180.139,TCP,54145,25838,49,4263,4.0,SSH-Bruteforce
10.74.74.126,21.123.210.152,ICMP,0,0,44,6336,0.06,RDP-Bruteforce
10.188.240.155,202.78.185.66,UDP,17694,54003,29,4118,0.94,DDoS
192.168.165.231,190.53.211.228,ICMP,0,0,4,552,2.16,Benign
192.168.98.150,37.5.143.142,ICMP,0,0,19,2470,1.88,PortScan
172.19.240.130,103.79.100.65,TCP,18082,5806,24,3024,1.5,SSH-Bruteforce
10.81.197.161,206.58.182.57,ICMP,0,0,26,1586,4.35,PortScan
192.168.46.202,195.141.239.111,ICMP,0,0,42,5670,2.82,Spam
172.24.48.255,44.136.101.228,UDP,64936,16087,21,2394,1.57,Spam
192.168.131.8,138.32.47.197,UDP,41326,34111,17,1598,1.3,PortScan
172.16.146.237,222.86.115.107,ICMP,0,0,26,3614,3.12,Benign
192.168.151.203,204.102.30.88,ICMP,0,0,12,1104,0.1,PortScan
192.168.74.219,192.118.236.135,TCP,60109,41454,14,1092,1.07,RDP-Bruteforce
172.30.127.155,32.227.96.160,UDP,23712,17623,5,560,0.87,SSH-Bruteforce
10.152.176.162,48.246.231.65,ICMP,0,0,39,3237,4.36,RDP-Bruteforce
192.168.21.38,195.215.170.119,UDP,36566,14785,16,1920,2.54,Spam
192.168.206.112,96.23.21.190,ICMP,0,0,41,5166,1.39,PortScan
192.168.231.240,189.37.81.7,ICMP,0,0,33,3762,2.62,Spam
10.158.68.75,199.126.226.156,TCP,62222,53369,15,1020,2.98,PortScan
10.251.180.31,191.13.210.203,ICMP,0,0,3,216,2.44,SSH-Bruteforce
172.20.76.98,216.72.113.93,TCP,31456,3458,14,966,3.38,DDoS
192.168.72.144,154.56.66.88,UDP,26763,58962,11,880,2.74,DDoS
192.168.230.102,28.94.195.44,TCP,26908,18137,5,470,3.86,Spam
192.168.245.203,137.60.181.124,UDP,10399,14832,34,3468,1.21,RDP-Bruteforce
192.168.185.188,147.62.90.100,TCP,24597,47456,28,3136,0.63,HTTP-Flood
172.26.63.79,154.227.122.193,TCP,29008,16213,5,370,0.48,HTTP-Flood
172.23.55.179,199.145.40.8,TCP,50067,25361,6,486,3.42,Spam
192.168.18.250,106.91.56.235,UDP,9528,21841,16,2384,1.66,HTTP-Flood
192.168.7.233,219.250.255.226,TCP,33045,61313,32,3296,3.74,Benign
192.168.183.143,5.133.124.235,ICMP,0,0,21,1680,0.07,Spam
172.18.23.50,116.154.231.235,UDP,55046,43570,45,3015,0.49,RDP-Bruteforce
172.21.8.27,177.231.114.146,UDP,50505,46627,36,4896,3.24,RDP-Bruteforce
10.242.43.141,52.26.240.228,ICMP,0,0,30,3030,4.82,DDoS
172.26.7.234,184.15.60.126,UDP,24565,3873,28,4088,4.92,HTTP-Flood
172.24.185.219,222.221.211.212,UDP,49614,18462,43,2795,3.64,RDP-Bruteforce
192.168.225.187,182.75.64.150,UDP,13007,63833,12,1464,0.02,SSH-Bruteforce
10.164.114.145,209.209.37.167,TCP,27792,25884,43,2666,3.68,HTTP-Flood
10.37.185.17,135.71.138.239,TCP,56955,64444,48,3984,2.77,HTTP-Flood
172.21.217.162,96.26.183.87,UDP,63250,56481,3,270,3.77,Benign
172.19.133.88,156.176.76.223,UDP,19783,44424,35,3255,3.62,SSH-Bruteforce
10.102.59.24,80.158.250.101,UDP,24955,12326,11,990,0.17,HTTP-Flood
10.72.30.233,68.100.96.15,ICMP,0,0,31,4495,1.75,HTTP-Flood
192.168.130.0,177.232.119.151,UDP,6511,17347,4,312,3.93,SSH-Bruteforce
10.11.195.78,222.38.189.7,TCP,64029,57914,15,2070,0.33,SSH-Bruteforce
192.168.4.33,46.51.164.135,UDP,48515,28367,15,1920,3.04,SSH-Bruteforce
10.148.7.209,223.12.147.0,ICMP,0,0,11,1320,4.34,SSH-Bruteforce
172.21.177.40,173.221.108.136,UDP,53283,25075,2,170,0.64,RDP-Bruteforce
192.168.117.18,210.54.46.217,ICMP,0,0,3,237,4.11,DDoS
192.168.245.101,206.7.235.194,ICMP,0,0,11,1166,3.74,HTTP-Flood
192.168.233.240,208.147.54.156,TCP,36955,60104,2,126,4.1,DDoS
192.168.44.64,192.24.80.201,ICMP,0,0,41,6150,3.97,RDP-Bruteforce
192.168.107.51,33.205.205.108,ICMP,0,0,43,5719,1.62,PortScan
172.26.100.101,209.84.112.217,ICMP,0,0,48,5040,1.57,PortScan
172.28.205.80,146.100.59.225,ICMP,0,0,5,310,4.61,DDoS
192.168.107.35,173.110.72.87,TCP,53131,10764,15,1080,4.1,RDP-Bruteforce
192.168.186.74,12.218.245.236,TCP,48111,9435,31,3224,0.23,HTTP-Flood
10.107.244.249,209.16.55.150,UDP,17864,53404,2,138,2.8,SSH-Bruteforce
192.168.218.73,105.25.100.54,UDP,43845,1732,6,786,1.82,HTTP-Flood
10.230.222.6,197.77.250.234,UDP,49854,16337,5,530,1.2,HTTP-Flood
172.30.0.169,197.232.29.209,ICMP,0,0,28,1876,3.37,SSH-Bruteforce
172.20.223.63,200.113.57.87,TCP,40251,54116,46,5750,1.35,PortScan
172.27.199.251,174.12.176.225,ICMP,0,0,37,3996,4.06,SSH-Bruteforce
192.168.201.146,181.8.24.46,ICMP,0,0,16,1104,4.26,DDoS
192.168.82.234,119.42.9.221,UDP,60749,52733,26,2600,1.08,Benign
10.214.193.169,207.37.78.143,ICMP,0,0,30,2700,1.24,PortScan
192.168.94.156,148.233.11.150,ICMP,0,0,40,3720,3.23,DDoS
10.92.99.38,137.176.191.91,TCP,36077,13517,21,1659,2.94,SSH-Bruteforce
192.168.190.24,169.76.154.172,UDP,5423,22249,33,2607,1.74,DDoS
10.185.175.219,180.218.195.11,ICMP,0,0,31,3317,3.86,HTTP-Flood
172.29.111.104,28.53.186.53,ICMP,0,0,46,4462,2.1,Benign
192.168.222.11,217.183.230.253,TCP,5039,5251,49,7350,4.4,Benign
10.169.28.87,22.90.16.16,UDP,7265,49399,8,544,0.22,SSH-Bruteforce
10.68.154.208,153.133.52.54,UDP,51111,5512,4,568,4.17,SSH-Bruteforce
10.222.174.4,38.37.108.57,UDP,4547,48766,14,1736,4.98,RDP-Bruteforce
192.168.10.250,125.162.200.202,ICMP,0,0,44,6380,4.61,HTTP-Flood
10.66.146.46,8.242.221.44,UDP,30120,40432,9,738,0.08,Benign
172.31.52.110,87.195.132.125,ICMP,0,0,31,2201,3.71,RDP-Bruteforce
172.19.44.117,203.133.232.245,UDP,12876,58581,20,1900,4.73,Spam
192.168.144.210,26.7.175.95,UDP,53622,12317,48,6816,4.67,PortScan
10.136.90.211,180.145.28.155,UDP,3657,18916,31,3875,2.29,SSH-Bruteforce
172.23.225.175,205.253.221.192,ICMP,0,0,21,2625,3.99,SSH-Bruteforce
10.12.65.48,44.233.25.178,TCP,16217,17174,30,4410,3.61,Benign
10.189.124.184,180.250.113.246,TCP,50960,22805,14,1428,2.01,HTTP-Flood
10.113.86.73,208.82.104.222,UDP,1257,62464,19,1463,3.77,Spam
172.22.103.59,134.64.183.29,ICMP,0,0,44,3564,4.49,PortScan
172.20.71.209,86.181.195.169,ICMP,0,0,7,952,0.36,SSH-Bruteforce
192.168.45.151,211.79.226.82,UDP,26452,18653,42,3780,4.16,RDP-Bruteforce
172.23.198.89,156.43.198.178,UDP,5662,3755,15,1260,4.96,SSH-Bruteforce
172.31.152.91,38.235.231.196,UDP,40139,1938,9,657,3.47,DDoS
10.29.18.47,95.140.82.131,ICMP,0,0,6,474,0.79,PortScan
10.217.225.233,1.21.237.241,TCP,65477,40904,33,4323,1.68,Spam
172.24.140.234,68.85.29.75,ICMP,0,0,7,560,2.98,HTTP-Flood
172.31.59.222,212.69.134.47,ICMP,0,0,8,592,0.06,RDP-Bruteforce
10.52.104.94,204.217.127.46,UDP,57003,59814,38,2850,4.74,PortScan
192.168.204.73,26.39.153.2,UDP,15759,42026,9,972,3.2,DDoS
10.213.46.65,125.169.57.251,TCP,32539,25026,17,1241,4.93,DDoS
10.181.16.124,29.62.179.226,UDP,8415,54325,22,2574,0.77,DDoS
10.194.159.30,132.204.109.37,TCP,18147,52670,1,92,0.21,DDoS
10.125.184.253,218.53.200.36,ICMP,0,0,34,4046,0.08,HTTP-Flood
10.199.219.4,132.24.150.225,TCP,54703,64055,5,640,4.97,PortScan
10.15.115.171,154.62.220.156,ICMP,0,0,32,3904,0.75,PortScan
172.28.88.96,138.215.80.13,UDP,48459,30360,10,1400,1.59,HTTP-Flood
172.27.157.113,204.12.123.236,TCP,9724,17838,18,2646,0.75,DDoS
172.25.30.202,135.173.126.174,TCP,42934,15144,30,4050,1.95,Benign
10.212.250.182,167.66.202.87,TCP,29843,36559,10,930,1.2,Benign
172.16.145.7,57.12.73.208,TCP,20986,33519,32,3392,2.38,SSH-Bruteforce
192.168.161.76,190.79.159.218,UDP,49489,13499,35,3780,3.9,DDoS
192.168.12.176,154.68.49.158,ICMP,0,0,19,2660,1.34,DDoS
172.18.195.212,122.174.174.57,TCP,35531,2498,38,4484,2.62,DDoS
172.27.52.193,139.251.23.122,ICMP,0,0,13,1456,1.43,Benign
192.168.128.80,90.197.101.222,ICMP,0,0,9,1125,4.17,DDoS
192.168.75.47,6.241.146.20,ICMP,0,0,25,3625,2.36,HTTP-Flood
192.168.152.25,76.251.191.15,UDP,59983,11216,42,5292,1.66,Spam
192.168.115.182,170.67.72.72,ICMP,0,0,10,680,3.84,SSH-Bruteforce
172.21.101.121,161.87.168.142,UDP,33728,47472,24,1704,4.77,PortScan
10.67.47.99,150.165.177.54,ICMP,0,0,21,2457,3.79,PortScan
192.168.165.118,210.11.166.129,UDP,22714,32221,47,6486,3.68,SSH-Bruteforce
10.10.226.104,67.158.231.49,UDP,25320,16095,16,1504,3.41,DDoS
10.28.219.8,179.83.205.40,ICMP,0,0,3,420,2.44,Benign
10.114.9.237,38.52.155.101,UDP,37155,10178,24,2784,3.51,SSH-Bruteforce
192.168.252.211,167.116.26.144,TCP,50921,24612,15,2025,1.34,HTTP-Flood
10.211.98.147,157.113.120.188,TCP,20855,20492,3,372,0.04,DDoS
172.18.204.83,122.60.199.39,ICMP,0,0,24,2760,4.77,RDP-Bruteforce
172.25.66.141,118.2.22.39,TCP,50278,7193,45,5085,4.89,Benign
192.168.240.27,207.147.164.239,TCP,21169,3486,9,1152,4.93,PortScan
172.20.153.81,187.6.122.39,UDP,7728,13811,9,909,2.86,Benign
10.70.81.193,213.2.240.149,ICMP,0,0,18,1944,0.72,Benign
172.31.72.174,205.196.45.149,UDP,13404,43443,12,1752,4.6,PortScan
172.27.188.60,38.84.77.135,TCP,58566,20736,42,4998,3.95,SSH-Bruteforce
10.170.53.32,4.51.92.40,ICMP,0,0,15,1965,1.59,Benign
192.168.129.142,219.222.113.50,UDP,13455,34042,6,642,4.34,SSH-Bruteforce
172.27.227.200,213.152.193.148,TCP,32497,54804,4,520,1.74,SSH-Bruteforce
172.28.91.20,187.23.25.233,ICMP,0,0,41,4920,4.71,PortScan
10.47.21.189,178.96.207.224,ICMP,0,0,50,3350,1.07,RDP-Bruteforce
172.17.114.234,204.162.109.12,UDP,55385,47570,23,2783,1.29,DDoS
172.20.86.146,159.174.231.146,TCP,11417,22876,34,2312,4.3,DDoS
192.168.10.144,128.46.252.7,UDP,63375,18988,38,2584,0.17,PortScan
192.168.224.87,27.50.104.2,ICMP,0,0,25,3275,4.51,HTTP-Flood
10.7.12.196,204.248.142.246,ICMP,0,0,11,1606,0.38,RDP-Bruteforce
172.18.72.155,129.202.127.112,ICMP,0,0,23,2024,4.21,HTTP-Flood
10.55.88.82,194.142.90.147,UDP,29711,18995,24,1536,2.49,SSH-Bruteforce
192.168.195.139,138.234.54.29,ICMP,0,0,7,546,2.76,PortScan
10.247.208.184,210.144.183.250,TCP,17218,10078,48,4224,4.14,HTTP-Flood
172.20.200.234,3.159.72.147,TCP,23912,1426,33,3135,2.99,Spam
172.22.103.99,218.147.204.227,ICMP,0,0,3,444,3.8,HTTP-Flood
10.145.58.84,221.210.181.143,ICMP,0,0,12,1428,1.33,RDP-Bruteforce
192.168.49.28,35.108.134.150,UDP,62701,20316,30,3210,0.57,RDP-Bruteforce
10.50.255.112,6.179.255.8,TCP,62383,2911,3,390,0.61,Benign
192.168.197.236,61.5.135.245,TCP,9249,14019,41,4305,1.5,Benign
10.135.116.188,190.121.137.129,UDP,40860,51994,9,648,2.26,Benign
192.168.196.76,41.146.98.242,UDP,44475,41958,1,70,0.87,Spam
192.168.157.61,202.120.204.120,TCP,59106,35114,2,242,0.37,SSH-Bruteforce
10.180.221.10,178.68.224.200,UDP,58407,14653,15,1590,1.99,RDP-Bruteforce
172.17.169.215,9.54.60.213,ICMP,0,0,12,900,3.96,RDP-Bruteforce
172.29.148.197,157.12.118.83,UDP,26343,50914,43,5719,2.72,SSH-Bruteforce
192.168.16.102,145.110.109.50,TCP,24335,65057,43,2924,2.31,SSH-Bruteforce
192.168.130.207,20.249.195.92,TCP,48062,45241,46,4370,4.07,HTTP-Flood
10.157.27.128,29.171.113.23,TCP,23873,49669,48,6288,3.32,PortScan
172.26.203.255,178.64.106.120,UDP,10025,63864,43,5289,1.47,Spam
10.150.25.53,63.64.152.151,TCP,60463,27819,4,380,0.55,DDoS
10.230.242.160,63.124.145.217,UDP,20819,60597,25,1950,1.93,Benign
172.28.105.83,22.84.152.6,TCP,53970,54623,11,1650,2.07,SSH-Bruteforce
172.20.72.57,156.72.172.170,UDP,47038,33032,43,3655,1.66,PortScan
10.109.8.175,151.72.244.86,TCP,8284,34674,50,3200,0.57,Spam
10.171.65.249,182.172.142.65,ICMP,0,0,15,1620,3.47,Spam
192.168.194.116,45.47.187.105,TCP,65171,26484,38,2698,0.83,DDoS
172.23.36.243,66.207.132.76,UDP,60754,61475,38,3040,1.83,PortScan
172.22.224.182,216.189.55.209,TCP,47236,34360,30,4020,1.27,SSH-Bruteforce
192.168.221.190,181.47.156.160,UDP,35059,16913,37,5106,2.72,SSH-Bruteforce
192.168.29.37,211.104.199.206,TCP,10405,42904,10,1110,2.36,Benign
192.168.246.90,26.154.188.235,UDP,28980,57784,15,1815,3.65,RDP-Bruteforce
10.223.218.177,53.189.253.175,ICMP,0,0,42,5796,2.83,HTTP-Flood
10.141.209.159,201.102.220.97,UDP,59034,49483,19,1767,2.17,DDoS
172.17.253.130,154.201.156.111,ICMP,0,0,27,2673,4.32,Benign
10.239.151.234,192.255.109.125,ICMP,0,0,50,6250,3.71,Spam
172.27.240.60,24.201.36.24,TCP,59852,39227,48,3552,3.45,RDP-Bruteforce
192.168.18.77,201.207.73.108,TCP,58549,39370,3,330,4.15,RDP-Bruteforce
172.29.174.129,40.66.104.71,UDP,2289,9040,25,3375,1.93,RDP-Bruteforce
10.225.137.215,133.231.179.254,ICMP,0,0,11,1199,1.78,HTTP-Flood
172.28.68.147,87.25.237.59,TCP,61514,15034,44,4312,3.73,Spam
172.31.62.126,53.71.120.229,TCP,38252,47563,5,375,4.17,PortScan
172.25.227.153,129.26.148.52,UDP,40285,58807,20,2060,1.56,PortScan
10.241.200.31,203.234.133.76,UDP,14632,37731,46,3404,4.86,RDP-Bruteforce
10.36.142.247,34.116.128.75,TCP,2712,33989,28,3080,2.56,SSH-Bruteforce
172.25.66.234,27.223.46.61,TCP,61817,2236,25,1575,0.19,PortScan
192.168.225.77,6.201.160.143,ICMP,0,0,26,3172,4.59,DDoS
10.19.161.228,175.174.173.142,TCP,10349,38723,34,2652,3.41,Spam
192.168.77.192,205.186.206.20,UDP,56212,17695,49,3430,0.07,Benign
192.168.128.251,177.58.35.188,ICMP,0,0,25,2275,3.9,Spam
192.168.200.77,221.34.93.49,ICMP,0,0,47,3807,2.81,DDoS
192.168.36.129,196.222.108.195,TCP,58660,5001,3,402,3.98,HTTP-Flood
10.93.100.105,100.145.248.93,UDP,50828,3217,14,1666,4.55,HTTP-Flood
10.242.47.167,111.188.68.203,TCP,49210,60452,3,345,1.54,Benign
172.29.252.185,77.40.232.202,ICMP,0,0,41,6027,2.85,SSH-Bruteforce
192.168.27.148,37.224.18.215,TCP,31876,2993,17,1037,2.98,SSH-Bruteforce
10.82.27.232,221.98.175.189,UDP,16283,15444,35,2590,0.38,DDoS
192.168.181.184,155.183.183.187,UDP,31189,24437,35,2275,2.42,DDoS
10.134.77.202,1.71.185.248,TCP,29748,51320,5,310,4.75,DDoS
10.218.159.253,55.96.155.226,ICMP,0,0,33,2409,4.3,PortScan
192.168.47.21,215.179.104.74,TCP,30593,53733,18,2016,1.76,DDoS
192.168.211.252,47.235.114.211,TCP,17902,33610,8,912,0.28,PortScan
10.77.103.67,38.150.101.27,TCP,31642,26673,11,1573,1.09,Benign
172.18.74.228,163.192.76.235,TCP,2623,33450,33,4323,0.63,RDP-Bruteforce
10.219.90.215,13.205.84.217,TCP,17701,20180,35,4865,0.82,DDoS
172.18.23.65,199.14.51.108,TCP,48283,5039,28,4004,0.96,SSH-Bruteforce
192.168.0.23,107.100.55.59,ICMP,0,0,16,1808,3.24,Benign
172.17.91.195,209.157.34.107,ICMP,0,0,43,3827,4.8,HTTP-Flood
172.24.28.134,141.166.131.108,TCP,15139,60110,39,5421,4.53,SSH-Bruteforce
10.203.244.8,163.203.194.226,TCP,55070,6838,33,4851,2.3,DDoS
172.30.51.194,73.120.140.127,ICMP,0,0,25,3450,2.28,DDoS
10.66.24.117,74.8.0.145,ICMP,0,0,12,756,4.88,PortScan
172.18.197.109,62.189.154.156,UDP,53472,11995,30,3870,3.95,PortScan
