src_ip,dst_ip,protocol,src_port,dst_port,packet_count,byte_count,duration,label
192.168.242.238,85.136.130.15,UDP,4086,50644,27,2619,3.49,DDoS
192.168.200.77,221.34.93.49,ICMP,0,0,47,3807,2.81,DDoS
192.168.174.70,99.61.5.126,UDP,54574,45875,2,150,2.14,SSH-Bruteforce
10.153.227.93,195.220.134.16,UDP,31840,33035,35,3710,0.91,Benign
172.18.195.212,122.174.174.57,TCP,35531,2498,38,4484,2.62,DDoS
172.19.75.73,220.211.237.255,TCP,9648,38460,10,1350,4.12,HTTP-Flood
192.168.67.171,11.59.177.24,ICMP,0,0,27,2511,0.04,SSH-Bruteforce
10.118.140.3,211.201.70.7,ICMP,0,0,48,7200,2.34,DDoS
172.21.47.118,112.158.3.40,UDP,14502,49625,16,1344,0.77,Benign
10.203.112.162,162.227.212.126,UDP,41483,46668,3,375,0.2,SSH-Bruteforce
172.17.136.93,149.90.13.73,UDP,51077,49230,8,816,0.38,PortScan
172.30.157.31,131.46.94.227,ICMP,0,0,7,945,2.59,DDoS
192.168.128.86,222.237.63.117,ICMP,0,0,16,2400,0.12,DDoS
10.203.244.8,163.203.194.226,TCP,55070,6838,33,4851,2.3,DDoS
10.180.221.10,178.68.224.200,UDP,58407,14653,15,1590,1.99,RDP-Bruteforce
10.37.248.143,49.129.31.52,ICMP,0,0,5,360,3.85,HTTP-Flood
192.168.71.50,95.119.12.107,UDP,64142,15990,13,1664,1.46,Benign
10.89.213.200,151.150.155.164,UDP,56741,6841,1,135,2.3,DDoS
172.27.63.233,143.112.108.5,UDP,19149,39202,9,693,0.92,PortScan
192.168.33.162,124.6.87.103,ICMP,0,0,16,2048,1.13,SSH-Bruteforce
10.55.244.48,181.73.210.117,TCP,18058,40054,12,816,4.86,DDoS
192.168.253.228,130.237.115.195,UDP,17000,23865,28,2184,4.24,SSH-Bruteforce
172.17.183.119,44.44.205.255,UDP,28714,3880,9,954,0.23,DDoS
172.24.255.58,191.126.111.204,TCP,58209,23170,22,2530,4.65,Spam
10.115.182.91,219.10.29.129,UDP,13585,22666,38,2964,3.0,SSH-Bruteforce
172.24.10.250,8.18.56.208,UDP,31684,11747,28,2492,1.34,SSH-Bruteforce
172.22.143.83,206.167.107.170,UDP,37148,3793,9,558,4.39,HTTP-Flood
10.170.53.32,4.51.92.40,ICMP,0,0,15,1965,1.59,Benign
172.24.111.216,217.203.202.13,UDP,6001,56651,24,2472,0.37,PortScan
172.25.246.254,137.44.52.22,ICMP,0,0,4,472,1.81,Spam
192.168.85.30,192.232.209.175,ICMP,0,0,21,1995,3.77,SSH-Bruteforce
192.168.31.241,145.135.112.105,TCP,14131,28522,6,900,3.06,DDoS
192.168.240.27,207.147.164.239,TCP,21169,3486,9,1152,4.93,PortScan
10.161.90.216,193.171.112.213,UDP,24429,25711,19,2470,4.97,Spam
10.82.27.232,221.98.175.189,UDP,16283,15444,35,2590,0.38,DDoS
10.113.86.73,208.82.104.222,UDP,1257,62464,19,1463,3.77,Spam
10.94.155.112,149.36.35.112,TCP,2850,60719,43,4042,2.95,HTTP-Flood
172.30.2.75,130.240.57.155,ICMP,0,0,20,1540,4.17,Benign
192.168.18.180,128.178.217.221,UDP,22026,37397,43,4343,3.87,SSH-Bruteforce
192.168.18.118,26.169.230.252,TCP,25379,27218,29,1914,0.22,HTTP-Flood
172.29.148.197,157.12.118.83,UDP,26343,50914,43,5719,2.72,SSH-Bruteforce
192.168.150.108,1.225.57.33,TCP,43263,65183,2,274,2.9,Benign
192.168.158.239,196.137.159.69,ICMP,0,0,25,2400,0.73,RDP-Bruteforce
10.235.43.218,16.76.53.25,UDP,42357,51816,32,2784,0.76,PortScan
192.168.77.167,160.75.99.78,UDP,13950,48595,34,4896,2.08,RDP-Bruteforce
10.129.90.203,215.7.160.14,UDP,39445,53920,41,5781,1.51,DDoS
192.168.251.47,22.177.191.182,ICMP,0,0,24,1584,1.79,Spam
172.25.66.141,118.2.22.39,TCP,50278,7193,45,5085,4.89,Benign
192.168.74.219,202.101.93.224,UDP,20947,64207,25,3025,2.26,RDP-Bruteforce
172.22.120.11,171.17.133.159,UDP,58863,51540,14,1834,3.47,HTTP-Flood
192.168.187.169,222.96.137.65,TCP,61039,17205,23,1725,4.13,HTTP-Flood
10.93.128.64,199.14.141.139,TCP,26397,65396,21,2079,1.44,PortScan
172.28.105.83,22.84.152.6,TCP,53970,54623,11,1650,2.07,SSH-Bruteforce
172.29.129.63,192.153.60.88,ICMP,0,0,6,492,3.5,Benign
10.35.200.163,145.102.122.74,TCP,35198,64669,33,3861,0.27,Benign
192.168.211.88,138.162.171.254,ICMP,0,0,35,3745,3.79,DDoS
10.23.56.96,139.188.58.220,TCP,33500,46924,6,396,4.17,Spam
10.247.176.232,161.82.187.25,UDP,42495,20221,42,3612,4.62,DDoS
192.168.215.25,213.234.213.188,UDP,7588,4265,13,1885,2.85,SSH-Bruteforce
192.168.207.206,50.82.65.73,TCP,42427,21210,12,732,0.62,DDoS
192.168.165.219,111.208.65.23,ICMP,0,0,6,696,0.3,DDoS
10.221.254.14,91.160.147.179,UDP,43807,59335,1,141,1.93,Spam
10.247.208.184,210.144.183.250,TCP,17218,10078,48,4224,4.14,HTTP-Flood
172.24.12.240,56.150.138.200,ICMP,0,0,36,3600,1.32,HTTP-Flood
192.168.196.76,41.146.98.242,UDP,44475,41958,1,70,0.87,Spam
192.168.237.139,152.80.134.110,UDP,48365,63389,19,1938,4.52,DDoS
192.168.151.139,74.59.193.117,TCP,44568,48376,37,4403,0.85,DDoS
10.185.180.119,148.173.37.70,UDP,36166,60895,16,992,2.41,Spam
172.18.28.37,156.50.235.212,UDP,43626,7039,32,2848,2.93,SSH-Bruteforce
172.21.120.204,15.123.137.200,ICMP,0,0,44,4400,1.43,SSH-Bruteforce
10.34.174.75,189.47.86.115,TCP,48716,32274,18,2196,2.12,Benign
192.168.102.199,219.6.141.20,TCP,57690,61103,15,2145,3.98,SSH-Bruteforce
172.24.118.82,194.77.115.149,UDP,14303,29903,46,6026,3.66,PortScan
192.168.110.32,126.97.148.147,ICMP,0,0,45,3375,0.07,HTTP-Flood
172.16.12.43,199.59.44.199,UDP,25307,57334,10,870,3.43,Benign
172.22.110.253,216.65.2.208,UDP,31732,29475,39,3588,2.61,HTTP-Flood
172.17.246.127,178.157.171.29,ICMP,0,0,14,1176,4.29,SSH-Bruteforce
10.253.101.4,117.29.176.244,TCP,9319,29747,35,2170,2.86,PortScan
192.168.247.101,191.212.29.72,UDP,25194,30300,10,760,2.2,SSH-Bruteforce
192.168.95.55,148.248.71.34,ICMP,0,0,29,2929,1.26,PortScan
172.29.252.185,77.40.232.202,ICMP,0,0,41,6027,2.85,SSH-Bruteforce
192.168.84.210,98.160.170.131,TCP,58782,41312,4,316,1.61,Spam
172.21.15.228,77.208.73.102,ICMP,0,0,4,512,4.37,HTTP-Flood
10.25.191.132,208.84.218.92,UDP,38817,25891,30,2580,3.3,HTTP-Flood
192.168.41.8,174.70.197.40,UDP,11536,20119,45,5175,3.42,PortScan
192.168.144.210,26.7.175.95,UDP,53622,12317,48,6816,4.67,PortScan
10.218.46.29,211.87.183.170,TCP,48941,5058,16,1488,4.55,SSH-Bruteforce
10.243.177.165,113.221.83.33,TCP,60651,50749,18,2682,3.27,Benign
172.26.172.193,155.66.220.253,UDP,51231,62679,28,2968,1.96,SSH-Bruteforce
10.49.179.18,89.184.64.46,ICMP,0,0,3,339,3.32,SSH-Bruteforce
10.134.24.239,200.217.183.27,UDP,20503,5505,44,6556,2.47,RDP-Bruteforce
10.77.103.67,38.150.101.27,TCP,31642,26673,11,1573,1.09,Benign
